PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,similarity,method_type,methods_used
39367648,An initial game-theoretic assessment of enhanced tissue preparation and imaging protocols for improved deep learning inference of spatial transcriptomics from tissue morphology,"Fatemi MY, Lu Y, Diallo AB, Srinivasan G, Azher ZL, Christensen BC, Salas LA, Tsongalis GJ, Palisoul SM, Perreard L, Kolling FW 4th, Vaickus LJ, Levy JJ.",Brief Bioinform. 2024 Sep 23;25(6):bbae476. doi: 10.1093/bib/bbae476.,Fatemi MY,Brief Bioinform,2024,2024/10/05,PMC11452536,,10.1093/bib/bbae476,"The application of deep learning to spatial transcriptomics (ST) can reveal relationships between gene expression and tissue architecture. Prior work has demonstrated that inferring gene expression from tissue histomorphology can discern these spatial molecular markers to enable population scale studies, reducing the fiscal barriers associated with large-scale spatial profiling. However, while most improvements in algorithmic performance have focused on improving model architectures, little is known about how the quality of tissue preparation and imaging can affect deep learning model training for spatial inference from morphology and its potential for widespread clinical adoption. Prior studies for ST inference from histology typically utilize manually stained frozen sections with imaging on non-clinical grade scanners. Training such models on ST cohorts is also costly. We hypothesize that adopting tissue processing and imaging practices that mirror standards for clinical implementation (permanent sections, automated tissue staining, and clinical grade scanning) can significantly improve model performance. An enhanced specimen processing and imaging protocol was developed for deep learning-based ST inference from morphology. This protocol featured the Visium CytAssist assay to permit automated hematoxylin and eosin staining (e.g. Leica Bond), 40×-resolution imaging, and joining of multiple patients' tissue sections per capture area prior to ST profiling. Using a cohort of 13 pathologic T Stage-III stage colorectal cancer patients, we compared the performance of models trained on slide prepared using enhanced versus traditional (i.e. manual staining and low-resolution imaging) protocols. Leveraging Inceptionv3 neural networks, we predicted gene expression across serial, histologically-matched tissue sections using whole slide images (WSI) from both protocols. The data Shapley was used to quantify and compare marginal performance gains on a patient-by-patient basis attributed to using the enhanced protocol versus the actual costs of spatial profiling. Findings indicate that training and validating on WSI acquired through the enhanced protocol as opposed to the traditional method resulted in improved performance at lower fiscal cost. In the realm of ST, the enhancement of deep learning architectures frequently captures the spotlight; however, the significance of specimen processing and imaging is often understated. This research, informed through a game-theoretic lens, underscores the substantial impact that specimen preparation/imaging can have on spatial transcriptomic inference from morphology. It is essential to integrate such optimized processing protocols to facilitate the identification of prognostic markers at a larger scale.",0.11319309901808164,computer vision,Unknown
39056477,"DeepComBat: A statistically motivated, hyperparameter-robust, deep learning approach to harmonization of neuroimaging data","Hu F, Lucas A, Chen AA, Coleman K, Horng H, Ng RWS, Tustison NJ, Davis KA, Shou H, Li M, Shinohara RT; Alzheimer's Disease Neuroimaging Initiative.",Hum Brain Mapp. 2024 Aug 1;45(11):e26708. doi: 10.1002/hbm.26708.,Hu F,Hum Brain Mapp,2024,2024/07/26,PMC11273293,,10.1002/hbm.26708,"Neuroimaging data acquired using multiple scanners or protocols are increasingly available. However, such data exhibit technical artifacts across batches which introduce confounding and decrease reproducibility. This is especially true when multi-batch data are analyzed using complex downstream models which are more likely to pick up on and implicitly incorporate batch-related information. Previously proposed image harmonization methods have sought to remove these batch effects; however, batch effects remain detectable in the data after applying these methods. We present DeepComBat, a deep learning harmonization method based on a conditional variational autoencoder and the ComBat method. DeepComBat combines the strengths of statistical and deep learning methods in order to account for the multivariate relationships between features while simultaneously relaxing strong assumptions made by previous deep learning harmonization methods. As a result, DeepComBat can perform multivariate harmonization while preserving data structure and avoiding the introduction of synthetic artifacts. We apply this method to cortical thickness measurements from a cognitive-aging cohort and show DeepComBat qualitatively and quantitatively outperforms existing methods in removing batch effects while preserving biological heterogeneity. Additionally, DeepComBat provides a new perspective for statistically motivated deep learning harmonization methods.",0.14960639716341165,computer vision,autoencoder
39013794,Deep Learning - Methods to Amplify Epidemiological Data Collection and Analyses,"Alex Quistberg D, Mooney SJ, Tasdizen T, Arbelaez P, Nguyen QC.",Am J Epidemiol. 2024 Jul 16:kwae215. doi: 10.1093/aje/kwae215. Online ahead of print.,Alex Quistberg D,Am J Epidemiol,2024,2024/07/16,,,10.1093/aje/kwae215,"Deep learning is a subfield of artificial intelligence and machine learning based mostly on neural networks and often combined with attention algorithms that has been used to detect and identify objects in text, audio, images, and video. Serghiou and Rough (Am J Epidemiol. 0000;000(00):0000-0000) present a primer for epidemiologists on deep learning models. These models provide substantial opportunities for epidemiologists to expand and amplify their research in both data collection and analyses by increasing the geographic reach of studies, including more research subjects, and working with large or high dimensional data. The tools for implementing deep learning methods are not quite yet as straightforward or ubiquitous for epidemiologists as traditional regression methods found in standard statistical software, but there are exciting opportunities for interdisciplinary collaboration with deep learning experts, just as epidemiologists have with statisticians, healthcare providers, urban planners, and other professionals. Despite the novelty of these methods, epidemiological principles of assessing bias, study design, interpretation and others still apply when implementing deep learning methods or assessing the findings of studies that have used them.",0.26668719441079924,computer vision,Unknown
38996550,MEFFGRN: Matrix enhancement and feature fusion-based method for reconstructing the gene regulatory network of epithelioma papulosum cyprini cells by spring viremia of carp virus infection,"Wei PJ, Bao JJ, Gao Z, Tan JY, Cao RF, Su Y, Zheng CH, Deng L.",Comput Biol Med. 2024 Sep;179:108835. doi: 10.1016/j.compbiomed.2024.108835. Epub 2024 Jul 11.,Wei PJ,Comput Biol Med,2024,2024/07/12,,,10.1016/j.compbiomed.2024.108835,"Gene regulatory networks (GRNs) are crucial for understanding organismal molecular mechanisms and processes. Construction of GRN in the epithelioma papulosum cyprini (EPC) cells of cyprinid fish by spring viremia of carp virus (SVCV) infection helps understand the immune regulatory mechanisms that enhance the survival capabilities of cyprinid fish. Although many computational methods have been used to infer GRNs, specialized approaches for predicting the GRN of EPC cells following SVCV infection are lacking. In addition, most existing methods focus primarily on gene expression features, neglecting the valuable network structural information in known GRNs. In this study, we propose a novel supervised deep neural network, named MEFFGRN (Matrix Enhancement- and Feature Fusion-based method for Gene Regulatory Network inference), to accurately predict the GRN of EPC cells following SVCV infection. MEFFGRN considers both gene expression data and network structure information of known GRN and introduces a matrix enhancement method to address the sparsity issue of known GRN, extracting richer network structure information. To optimize the benefits of CNN (Convolutional Neural Network) in image processing, gene expression and enhanced GRN data were transformed into histogram images for each gene pair respectively. Subsequently, these histograms were separately fed into CNNs for training to obtain the corresponding gene expression and network structural features. Furthermore, a feature fusion mechanism was introduced to comprehensively integrate the gene expression and network structural features. This integration considers the specificity of each feature and their interactive information, resulting in a more comprehensive and precise feature representation during the fusion process. Experimental results from both real-world and benchmark datasets demonstrate that MEFFGRN achieves competitive performance compared with state-of-the-art computational methods. Furthermore, study findings from SVCV-infected EPC cells suggest that MEFFGRN can predict novel gene regulatory relationships.",0.13257853488625645,computer vision,CNN
38800990,Prediction of prognosis using artificial intelligence-based histopathological image analysis in patients with soft tissue sarcomas,"Hagi T, Nakamura T, Yuasa H, Uchida K, Asanuma K, Sudo A, Wakabayahsi T, Morita K.",Cancer Med. 2024 May;13(10):e7252. doi: 10.1002/cam4.7252.,Hagi T,Cancer Med,2024,2024/05/27,PMC11129162,,10.1002/cam4.7252,"BACKGROUND: Prompt histopathological diagnosis with accuracy is required for soft tissue sarcomas (STSs) which are still challenging. In addition, the advances in artificial intelligence (AI) along with the development of pathology slides digitization may empower the demand for the prediction of behavior of STSs. In this article, we explored the application of deep learning for prediction of prognosis from histopathological images in patients with STS.
METHODS: Our retrospective study included a total of 35 histopathological slides from patients with STS. We trained Inception v3 which is proposed method of convolutional neural network based survivability estimation. F1 score which identify the accuracy and area under the receiver operating characteristic curve (AUC) served as main outcome measures from a 4-fold validation.
RESULTS: The cohort included 35 patients with a mean age of 64 years, and the mean follow-up period was 34 months (2-66 months). Our deep learning method achieved AUC of 0.974 and an accuracy of 91.9% in predicting overall survival. Concerning with the prediction of metastasis-free survival, the accuracy was 84.2% with the AUC of 0.852.
CONCLUSION: AI might be used to help pathologists with accurate prognosis prediction. This study could substantially improve the clinical management of patients with STS.",0.10626923830517505,computer vision,Inception
38022395,How to estimate carbon footprint when training deep learning models? A guide and review,"Bouza L, Bugeau A, Lannelongue L.",Environ Res Commun. 2023 Nov 1;5(11):115014. doi: 10.1088/2515-7620/acf81b. Epub 2023 Nov 21.,Bouza L,Environ Res Commun,2023,2023/11/29,PMC10661046,,10.1088/2515-7620/acf81b,"Machine learning and deep learning models have become essential in the recent fast development of artificial intelligence in many sectors of the society. It is now widely acknowledge that the development of these models has an environmental cost that has been analyzed in many studies. Several online and software tools have been developed to track energy consumption while training machine learning models. In this paper, we propose a comprehensive introduction and comparison of these tools for AI practitioners wishing to start estimating the environmental impact of their work. We review the specific vocabulary, the technical requirements for each tool. We compare the energy consumption estimated by each tool on two deep neural networks for image processing and on different types of servers. From these experiments, we provide some advice for better choosing the right tool and infrastructure.",0.1809779257962313,computer vision,Unknown
37920033,UNet segmentation network of COVID-19 CT images with multi-scale attention,"Chen M, Yi S, Yang M, Yang Z, Zhang X.",Math Biosci Eng. 2023 Aug 23;20(9):16762-16785. doi: 10.3934/mbe.2023747.,Chen M,Math Biosci Eng,2023,2023/11/03,,,10.3934/mbe.2023747,"In recent years, the global outbreak of COVID-19 has posed an extremely serious life-safety risk to humans, and in order to maximize the diagnostic efficiency of physicians, it is extremely valuable to investigate the methods of lesion segmentation in images of COVID-19. Aiming at the problems of existing deep learning models, such as low segmentation accuracy, poor model generalization performance, large model parameters and difficult deployment, we propose an UNet segmentation network integrating multi-scale attention for COVID-19 CT images. Specifically, the UNet network model is utilized as the base network, and the structure of multi-scale convolutional attention is proposed in the encoder stage to enhance the network's ability to capture multi-scale information. Second, a local channel attention module is proposed to extract spatial information by modeling local relationships to generate channel domain weights, to supplement detailed information about the target region to reduce information redundancy and to enhance important information. Moreover, the network model encoder segment uses the Meta-ACON activation function to avoid the overfitting phenomenon of the model and to improve the model's representational ability. A large number of experimental results on publicly available mixed data sets show that compared with the current mainstream image segmentation algorithms, the pro-posed method can more effectively improve the accuracy and generalization performance of COVID-19 lesions segmentation and provide help for medical diagnosis and analysis.",0.11936567755979008,computer vision,Unknown
37894313,Detection of Malignant Skin Lesions Based on Decision Fusion of Ensembles of Neural Networks,"Ichim L, Mitrica RI, Serghei MO, Popescu D.",Cancers (Basel). 2023 Oct 11;15(20):4946. doi: 10.3390/cancers15204946.,Ichim L,Cancers (Basel),2023,2023/10/28,PMC10605379,,10.3390/cancers15204946,"Today, skin cancer, and especially melanoma, is an increasing and dangerous health disease. The high mortality rate of some types of skin cancers needs to be detected in the early stages and treated urgently. The use of neural network ensembles for the detection of objects of interest in images has gained more and more interest due to the increased performance of the results. In this sense, this paper proposes two ensembles of neural networks, based on the fusion of the decisions of the component neural networks for the detection of four skin lesions (basal cancer cell, melanoma, benign keratosis, and melanocytic nevi). The first system is based on separate learning of three neural networks (MobileNet V2, DenseNet 169, and EfficientNet B2), with multiple weights for the four classes of lesions and weighted overall prediction. The second system is made up of six binary models (one for each pair of classes) for each network; the fusion and prediction are conducted by weighted summation per class and per model. In total, 18 such binary models will be considered. The 91.04% global accuracy of this set of binary models is superior to the first system (89.62%). Separately, only for the binary classifications within the system was the individual accuracy better. The individual F1 score for each class and the global system varied from 81.36% to 94.17%. Finally, a critical comparison is made with similar works from the literature.",0.16066420240487506,computer vision,DenseNet
37774924,"Development of an automated estimation of foot process width using deep learning in kidney biopsies from patients with Fabry, minimal change, and diabetic kidney diseases","Smerkous D, Mauer M, Tøndel C, Svarstad E, Gubler MC, Nelson RG, Oliveira JP, Sargolzaeiaval F, Najafian B.",Kidney Int. 2024 Jan;105(1):165-176. doi: 10.1016/j.kint.2023.09.011. Epub 2023 Sep 27.,Smerkous D,Kidney Int,2024,2023/09/29,PMC10842003,NIHMS1942636,10.1016/j.kint.2023.09.011,"Podocyte injury plays a key role in pathogenesis of many kidney diseases with increased podocyte foot process width (FPW), an important measure of podocyte injury. Unfortunately, there is no consensus on the best way to estimate FPW and unbiased stereology, the current gold standard, is time consuming and not widely available. To address this, we developed an automated FPW estimation technique using deep learning. A U-Net architecture variant model was trained to semantically segment the podocyte-glomerular basement membrane interface and filtration slits. Additionally, we employed a post-processing computer vision approach to accurately estimate FPW. A custom segmentation utility was also created to manually classify these structures on digital electron microscopy (EM) images and to prepare a training dataset. The model was applied to EM images of kidney biopsies from 56 patients with Fabry disease, 15 with type 2 diabetes, 10 with minimal change disease, and 17 normal individuals. The results were compared with unbiased stereology measurements performed by expert technicians unaware of the clinical information. FPW measured by deep learning and by the expert technicians were highly correlated and not statistically different in any of the studied groups. A Bland-Altman plot confirmed interchangeability of the methods. FPW measurement time per biopsy was substantially reduced by deep learning. Thus, we have developed a novel validated deep learning model for FPW measurement on EM images. The model is accessible through a cloud-based application making calculation of this important biomarker more widely accessible for research and clinical applications.",0.1263122237705855,computer vision,Unknown
36800143,Segmentation of the aorta in systolic phase from 4D flow MRI: multi-atlas vs. deep learning,"Marin-Castrillon DM, Geronzi L, Boucher A, Lin S, Morgant MC, Cochet A, Rochette M, Leclerc S, Ambarki K, Jin N, Aho LS, Lalande A, Bouchot O, Presles B.",MAGMA. 2023 Oct;36(5):687-700. doi: 10.1007/s10334-023-01066-2. Epub 2023 Feb 17.,Marin-Castrillon DM,MAGMA,2023,2023/02/17,,,10.1007/s10334-023-01066-2,"OBJECTIVE: In the management of the aortic aneurysm, 4D flow magnetic resonance Imaging provides valuable information for the computation of new biomarkers using computational fluid dynamics (CFD). However, accurate segmentation of the aorta is required. Thus, our objective is to evaluate the performance of two automatic segmentation methods on the calculation of aortic wall pressure.
METHODS: Automatic segmentation of the aorta was performed with methods based on deep learning and multi-atlas using the systolic phase in the 4D flow MRI magnitude image of 36 patients. Using mesh morphing, isotopological meshes were generated, and CFD was performed to calculate the aortic wall pressure. Node-to-node comparisons of the pressure results were made to identify the most robust automatic method respect to the pressures obtained with a manually segmented model.
RESULTS: Deep learning approach presented the best segmentation performance with a mean Dice similarity coefficient and a mean Hausdorff distance (HD) equal to 0.92+/- 0.02 and 21.02+/- 24.20 mm, respectively. At the global level HD is affected by the performance in the abdominal aorta. Locally, this distance decreases to 9.41+/- 3.45 and 5.82+/- 6.23 for the ascending and descending thoracic aorta, respectively. Moreover, with respect to the pressures from the manual segmentations, the differences in the pressures computed from deep learning were lower than those computed from multi-atlas method.
CONCLUSION: To reduce biases in the calculation of aortic wall pressure, accurate segmentation is needed, particularly in regions with high blood flow velocities. Thus, the deep learning segmen-tation method should be preferred.",0.1530605550057064,computer vision,Unknown
